feature_type,feature_code,geometry,created_at
﻿Đèn đường,den_duong,"POINT [108.24997007846832, 15.97978214694243]",2025-11-22T15:04:57.400Z
﻿Đèn đường,den_duong,"POINT [108.24996471405031, 15.979302533183224]",2025-11-22T15:04:55.992Z
﻿Đèn đường,den_duong,"POINT [108.24993789196014, 15.978678517861578]",2025-11-22T15:04:54.766Z
﻿Đèn đường,den_duong,"POINT [108.25015246868135, 15.980210188358786]",2025-11-22T15:05:02.520Z
﻿Đèn đường,den_duong,"POINT [108.25014173984529, 15.979978117825022]",2025-11-22T15:05:03.140Z
﻿Đèn đường,den_duong,"POINT [108.25003981590272, 15.980189559877806]",2025-11-22T15:05:00.856Z
﻿Đèn đường,den_duong,"POINT [108.25064599514008, 15.98022050259848]",2025-11-22T15:05:05.572Z
﻿Đèn đường,den_duong,"POINT [108.2501471042633, 15.97939536174247]",2025-11-22T15:05:04.741Z
﻿Đèn đường,den_duong,"POINT [108.25014173984529, 15.97969447569598]",2025-11-22T15:05:03.824Z
﻿Đèn đường,den_duong,"POINT [108.2506835460663, 15.97941083316483]",2025-11-22T15:05:08.546Z
﻿Đèn đường,den_duong,"POINT [108.2506835460663, 15.97964806149112]",2025-11-22T15:05:07.820Z
﻿Đèn đường,den_duong,"POINT [108.25066208839418, 15.979895603792585]",2025-11-22T15:05:07.130Z
﻿Đèn đường,den_duong,"POINT [108.25539350509644, 15.98287640162314]",2025-11-22T15:05:12.002Z
﻿Đèn đường,den_duong,"POINT [108.25492143630983, 15.982938286228599]",2025-11-22T15:05:12.918Z
﻿Đèn đường,den_duong,"POINT [108.2532048225403, 15.982948600327637]",2025-11-22T15:05:17.074Z
﻿Đèn đường,den_duong,"POINT [108.25443863868715, 15.982866087520375]",2025-11-22T15:05:13.506Z
﻿Đèn đường,den_duong,"POINT [108.25398802757263, 15.982917658028908]",2025-11-22T15:05:14.550Z
﻿Đèn đường,den_duong,"POINT [108.25184226036073, 15.982917658028908]",2025-11-22T15:05:18.850Z
﻿Đèn đường,den_duong,"POINT [108.25142383575441, 15.982969228524146]",2025-11-22T15:05:20.313Z
﻿Đèn đường,den_duong,"POINT [108.25262546539308, 15.982938286228599]",2025-11-22T15:05:19.556Z
﻿Đèn đường,den_duong,"POINT [108.2510268688202, 15.982958914426153]",2025-11-22T15:05:20.888Z
﻿Đèn đường,den_duong,"POINT [108.25339794158937, 15.98341273423436]",2025-11-22T15:05:23.449Z
﻿Đèn đường,den_duong,"POINT [108.25050115585327, 15.98287640162314]",2025-11-22T15:05:21.608Z
﻿Đèn đường,den_duong,"POINT [108.25285077095033, 15.98340242015924]",2025-11-22T15:05:24.235Z
﻿Đèn đường,den_duong,"POINT [108.25224995613098, 15.9833714779307]",2025-11-22T15:05:24.903Z
﻿Đèn đường,den_duong,"POINT [108.25500726699829, 15.98341273423436]",2025-11-22T15:05:26.462Z
﻿Đèn đường,den_duong,"POINT [108.25585484504701, 15.98341273423436]",2025-11-22T15:05:25.845Z
﻿Đèn đường,den_duong,"POINT [108.25418114662172, 15.98341273423436]",2025-11-22T15:05:27.236Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.26112270355226, 15.977255136788122], [108.26112270355226, 15.975316021643307], [108.26112270355226, 15.973789470971735], [108.2612943649292, 15.972015356915042], [108.26120853424074, 15.971066405732715], [108.26112270355226, 15.9695398226532]]",2025-11-22T15:05:58.799Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.25997471809389, 15.979740889890055], [108.256573677063, 15.979586175867896]]",2025-11-22T15:06:20.682Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.2487738132477, 15.978059657769377], [108.26097249984741, 15.978142172558913], [108.26101541519166, 15.98051445820635], [108.25671315193178, 15.980483515531109]]",2025-11-22T15:06:16.349Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.25997471809389, 15.978204058628737], [108.25659513473512, 15.978183429940934]]",2025-11-22T15:06:27.412Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.26002836227418, 15.978822918274364], [108.25658440589906, 15.978905432749166]]",2025-11-22T15:06:23.802Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.2535481452942, 15.98181404624437], [108.25351595878602, 15.979194233142996], [108.24884891510011, 15.979287061752496], [108.24885964393617, 15.978575374645793], [108.2535481452942, 15.978534117344596], [108.25339794158937, 15.97800808600862], [108.24892401695253, 15.9779874573006]]",2025-11-22T15:06:42.066Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.24389219284059, 15.977482053289815], [108.2545030117035, 15.977471738908967], [108.25580120086671, 15.98298985671852], [108.25032949447633, 15.98287640162314]]",2025-11-22T15:06:52.797Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.2562839984894, 15.982835145208872], [108.25513601303102, 15.97809060081944]]",2025-11-22T15:06:57.630Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.27253818511964, 15.986414107497193]",2025-11-22T15:13:25.486Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.27579975128175, 15.98051445820635]",2025-11-22T15:13:26.464Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.25973868370058, 16.00058493146992]",2025-11-22T15:13:34.206Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.26614379882814, 16.004338896981572]",2025-11-22T15:13:38.343Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.25419187545778, 16.01574474392113]",2025-11-22T15:13:40.358Z
﻿Đèn đường,den_duong,"POINT [108.25608015060425, 15.978204058628737]",2025-11-22T15:33:25.917Z
﻿Đèn đường,den_duong,"POINT [108.26026439666748, 15.97817311559623]",2025-11-22T15:33:34.467Z
﻿Đèn đường,den_duong,"POINT [108.25552225112916, 15.97817311559623]",2025-11-22T15:33:25.306Z
﻿Đèn đường,den_duong,"POINT [108.25927734375001, 15.978162801250992]",2025-11-22T15:33:33.658Z
﻿Đèn đường,den_duong,"POINT [108.25861215591432, 15.978131858212084]",2025-11-22T15:33:28.333Z
﻿Đèn đường,den_duong,"POINT [108.2570242881775, 15.97815248690522]",2025-11-22T15:33:27.209Z
﻿Đèn đường,den_duong,"POINT [108.26139092445375, 15.978100915168394]",2025-11-22T15:33:35.447Z
﻿Đèn đường,den_duong,"POINT [108.26272130012512, 15.978183429940934]",2025-11-22T15:33:37.104Z
﻿Trạm điện,tram_dien,"POINT [108.18783402442934, 16.06971257253549]",2025-11-22T15:12:16.809Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.19201827049257, 16.065836120139185]",2025-11-22T15:12:30.964Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.18844556808473, 16.0656505433958]",2025-11-22T15:12:28.827Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.18735122680665, 16.069929074298297]",2025-11-22T15:12:22.251Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.20242524147035, 16.065691782687068]",2025-11-22T15:12:35.340Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.1810748577118, 16.069124923705647]",2025-11-22T15:12:27.155Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2098174095154, 16.045411330148323]",2025-11-22T15:12:46.084Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.20605158805849, 16.05867067020828]",2025-11-22T15:12:38.558Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.20921659469606, 16.033780327048035]",2025-11-22T15:12:57.366Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.20995688438417, 16.036770632027036]",2025-11-22T15:12:55.029Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.20906639099123, 16.0245822802741]",2025-11-22T15:13:33.494Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2102680206299, 16.04194684701969]",2025-11-22T15:12:52.735Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.21113705635072, 16.02018418537621]",2025-11-22T15:13:36.658Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2075482606888, 16.01840017082952]",2025-11-22T15:13:44.478Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.21956992149354, 16.00778340766768]",2025-11-22T15:13:53.166Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.18147182464601, 16.068588821504406]",2025-11-22T15:14:17.658Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.21713984012604, 16.010872072568525]",2025-11-22T15:13:50.302Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.17359685897829, 16.072042531508192]",2025-11-22T15:14:50.900Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.16413402557374, 16.07818689415685]",2025-11-22T15:15:02.280Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.1707537174225, 16.07383637512754]",2025-11-22T15:14:55.968Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.16172003746034, 16.07976419152131]",2025-11-22T15:15:05.106Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.16821098327638, 16.075496181533612]",2025-11-22T15:14:58.720Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.1551218032837, 16.065300009074896]",2025-11-22T15:15:58.560Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.15146327018739, 16.06915585263471]",2025-11-22T15:15:56.408Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.15824389457704, 16.063145240418674]",2025-11-22T15:16:01.703Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.15908610820772, 16.053948549238278]",2025-11-22T15:16:09.311Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.16729903221132, 16.05668079445921]",2025-11-22T15:16:11.230Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.17520618438722, 16.05940269203324]",2025-11-22T15:16:15.728Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.17056059837341, 16.067331037591547]",2025-11-22T15:16:24.402Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.16895127296449, 16.056134348414805]",2025-11-22T15:16:12.229Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.16094756126405, 16.073465236396014]",2025-11-22T15:16:28.982Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.21114778518678, 16.031429297157274]",2025-11-22T15:19:24.322Z
﻿Trạm sạc,tram_sac,"POINT [108.21177005767822, 16.02015840493275]",2025-11-22T15:19:14.530Z
﻿Đèn đường,den_duong,"POINT [108.24354885883392, 15.977399603859112]",2025-11-22T15:24:59.498Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25821434561485, 15.993542153620265], [108.25782293979705, 15.991686711294806]]",2025-11-22T15:45:35.802Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25865008152614, 15.995480041662034], [108.25823709094891, 15.99368131110042]]",2025-11-22T15:45:27.194Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25779076945587, 15.991542398392157], [108.2573457464027, 15.989723016077637]]",2025-11-22T15:45:44.372Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25743153397923, 15.988305638779625], [108.25641235653963, 15.983516965166285]]",2025-11-22T15:45:57.646Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.26021918024725, 15.982125315271457], [108.25666971926915, 15.982867529753506]]",2025-11-22T15:46:05.599Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25732966123212, 15.989614780347372], [108.25708838367318, 15.988620039701935]]",2025-11-22T15:45:48.968Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25196322276403, 15.981698680136793]",2025-11-22T16:02:06.724Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.2545785820713, 15.97262788288654], [108.2519727844348, 15.971906248585796], [108.25238027542323, 15.970473281334348], [108.25285210709404, 15.970555754547851], [108.25284138364695, 15.970885647062158], [108.25307729948237, 15.970823792257136], [108.25312019327062, 15.97043204471486], [108.25233738163496, 15.970225861489963], [108.25261619125862, 15.969401126467096], [108.25394589869454, 15.96956607374345]]",2025-11-22T16:03:54.248Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.2533668325531, 15.974143306450088], [108.25334538565897, 15.974720607646814]]",2025-11-22T16:03:19.359Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.25498607305975, 15.97430824981907], [108.25501824340094, 15.977617397438337]]",2025-11-22T16:03:29.289Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26032410817184, 15.975925794530554]",2025-11-22T16:02:18.048Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25195981946206, 15.973802155426501]",2025-11-22T16:02:14.834Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26257603205522, 15.975822705774032]",2025-11-22T16:02:20.754Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.24571877327094, 15.979472015420383]",2025-11-22T16:02:09.604Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.2498778483474, 15.983456382020494]",2025-11-22T16:02:30.444Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26397008017355, 15.979492632799928]",2025-11-22T16:02:22.590Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.25497363134673, 15.97142262648342], [108.25495216144215, 15.967319560679295]]",2025-11-22T16:04:47.783Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22099149227142, 16.026165158227883]",2025-11-22T16:00:41.123Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22211802005769, 16.03752335690304]",2025-11-22T16:01:03.727Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22429060935974, 16.03295025167805]",2025-11-22T16:00:53.209Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22275102138519, 16.032785267341882]",2025-11-22T16:00:54.363Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22371125221254, 16.037652247863882]",2025-11-22T16:01:01.261Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22177068160585, 16.040766369132562]",2025-11-22T16:01:19.111Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22381854057313, 16.049360354997415]",2025-11-22T16:01:45.111Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2368318421534, 16.053084726459172]",2025-11-22T16:01:52.119Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.23635518541677, 16.054912572222133]",2025-11-22T16:02:07.391Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.23569536209108, 16.05703649909721]",2025-11-22T16:02:03.687Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.23067963123323, 16.07260439806045]",2025-11-22T16:02:31.553Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.23435962200166, 16.061371920480724]",2025-11-22T16:02:11.927Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.23206286542842, 16.077789850982725]",2025-11-22T16:02:39.935Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.23789477348328, 16.08376923348781]",2025-11-22T16:02:45.475Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2021999359131, 16.022623000266073]",2025-11-22T16:06:48.445Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.18401455879213, 16.04623104278935]",2025-11-22T16:07:40.225Z
﻿Trạm sạc,tram_sac,"POINT [108.19856822490694, 16.020890568231135]",2025-11-22T16:07:07.502Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.1940406560898, 16.02025637060018]",2025-11-22T16:07:15.575Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.18707764148714, 16.03685827822047]",2025-11-22T16:07:32.579Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22294950485231, 16.044308063784783]",2025-11-22T16:29:16.476Z
﻿Trạm sạc,tram_sac,"POINT [108.22505235671998, 16.036719075424664]",2025-11-22T16:28:19.399Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22006344795228, 16.054505311683666]",2025-11-22T16:30:05.383Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.22112560272218, 16.04631868482182]",2025-11-22T16:29:19.389Z
